Art	k	Similarity(avg)	Zeit_compare_median(ms)	Error(MAE)	Sec/Res Compare
Jaccard	-	0,00013077800026258665	339,7261000000001	0	0,0000487901910096223
MinHash	1	0,0001436162573603332	0,0647600000000125	0,0002742531114240389	9,300588826656974e-9
MinHash	32	0,00012566422519029154	0,4465400000000045	0,00025108370175562364	6,413040356168382e-8
MinHash	128	0,0001447382593709608	1,3823300000000018	0,00025056659240879343	1,9852506103690964e-7
MinHash	256	0,00013183523624874335	2,626239999999984	0,0002224296196300127	3,771707597299992e-7
MinHash	1024	0,00013225598700272872	11,141194999999971	0,0001443321731298497	0,0000016000567284216533
MinHash	2048	0,00013113398499210111	21,298250000000053	0,00008786083008527117	0,000003058774953324724
MinHash	3072	0,0001366972449614633	30,74126500000002	0,00008435041137824015	0,000004414945425822206
MinHash	4096	0,0001336234269531811	39,81477500000019	0,00006997761281448778	0,000005718048973143787
MinHash	16384	0,00013322897312131985	163,71070499999914	0,000039519276707844625	0,00002351151874192146
MinHash	32768	0,0001326285267328199	325,43464999999924	0,000029860546949918745	0,000046737706448369845