Art	k	Similarity(avg)	Zeit_compare(ms)	Error(MAE)	Hilf_Jaccard_Sim	Sec/Res Compare
Jaccard	-	0.00244946929728794	2.7827000000000055	0	0.00244946929728794	0.0000043960505529226
MinHash	1	0.001579778830963665	0.08549999999999613	0.003995090748122661	0.00244946929728794	1.3507109004738725e-7
MinHash	32	0.0022709320695102684	0.5646999999999878	0.003832309483445663	0.00244946929728794	8.921011058451624e-7
MinHash	128	0.002591824644549763	0.16989999999998417	0.002395601908903132	0.00244946929728794	2.684044233807017e-7
MinHash	256	0.002597995655608215	0.30630000000002156	0.0014302689845688713	0.00244946929728794	4.838862559242047e-7
MinHash	1024	0.002448348637440758	1.0778000000000247	0.0009049657481513661	0.00244946929728794	0.0000017026856240126773
MinHash	2048	0.002398209172590837	1.7445999999999913	0.0006270740998861854	0.00244946929728794	0.0000027560821484991965
MinHash	3072	0.0024041230581885184	2.649400000000014	0.00046378879032116704	0.00244946929728794	0.000004185466034755156
MinHash	4096	0.002449505702014218	3.43730000000005	0.0004476571911264746	0.00244946929728794	0.000005430173775671485
MinHash	8192	0.0024350423948459716	7.02800000000002	0.0002780909028528038	0.00244946929728794	0.00001110268562401267
MinHash	16384	0.0024269429428317537	14.851399999999785	0.00020409248346263186	0.00244946929728794	0.000023461927330173436
MinHash	32768	0.0024412134059044236	28.77099999999973	0.000173909477812371	0.00244946929728794	0.00004545181674565518